Ns,Ns,"(19, 20)","(22, 23)",中国,中国,"['据', '统计', '，', '抗日战争', '中', '，', '中国', '国民', '革命军', '兵力', '最高', '时', '达', '500万', '人', '，', '还', '组织', '了', '中国', '远征军', '和', '中国', '驻', '印军', '入', '缅', '与', '英军', '配合', '作战', '，', '痛击', '日军', '（', '驻', '印军', '也', '在', '印度', '抗战', '）', '。']",国军.txt
Ns,Ns,"(2, 3)","(5, 6)",沪,太原,"['8月', '淞', '沪', '会战', '9月', '太原', '会战', '12月', '南京', '保卫战']",国军.txt
Ns,Ns,"(2, 3)","(8, 9)",沪,南京,"['8月', '淞', '沪', '会战', '9月', '太原', '会战', '12月', '南京', '保卫战']",国军.txt
Ns,Ns,"(5, 6)","(8, 9)",太原,南京,"['8月', '淞', '沪', '会战', '9月', '太原', '会战', '12月', '南京', '保卫战']",国军.txt
Ns,Ns,"(1, 2)","(5, 6)",徐州,台儿庄,"['1月', '徐州', '会战', '3月', '血战', '台儿庄', '6月', '武汉', '会战']",国军.txt
Ns,Ns,"(1, 2)","(7, 8)",徐州,武汉,"['1月', '徐州', '会战', '3月', '血战', '台儿庄', '6月', '武汉', '会战']",国军.txt
Ns,Ns,"(5, 6)","(7, 8)",台儿庄,武汉,"['1月', '徐州', '会战', '3月', '血战', '台儿庄', '6月', '武汉', '会战']",国军.txt
Ns,Ns,"(6, 7)","(9, 10)",长沙,桂南,"['5月', '随栆', '会战', '9月', '第一', '次', '长沙', '会战', '11月', '桂南', '会战', '浴血', '昆仑关']",国军.txt
Ns,Ns,"(1, 2)","(8, 9)",豫南,晋南,"['1月', '豫南', '会战', '3月', '上', '高', '会战', '5月', '晋南', '会战', '9月', '第二', '次', '长沙', '会战', '12月', '第三', '次', '长沙', '会战']",国军.txt
Ns,Ns,"(8, 9)","(13, 14)",晋南,长沙,"['1月', '豫南', '会战', '3月', '上', '高', '会战', '5月', '晋南', '会战', '9月', '第二', '次', '长沙', '会战', '12月', '第三', '次', '长沙', '会战']",国军.txt
Ns,Ns,"(13, 14)","(18, 19)",长沙,长沙,"['1月', '豫南', '会战', '3月', '上', '高', '会战', '5月', '晋南', '会战', '9月', '第二', '次', '长沙', '会战', '12月', '第三', '次', '长沙', '会战']",国军.txt
